#BGC Name	Clan Number	Family Number
c00003_gnlPro...region001	11	11
c00004_gnlPro...region001	11	11
c00005_gnlPro...region001	17	17
c00005_gnlPro...region004	20	20
c00113_gnlPro...region001	20	20
c00001_gnlPro...region005	24	24
c00007_gnlPro...region001	24	24
c00022_gnlPro...region001	54	54
c00026_gnlPro...region001	59	59
c00030_gnlPro...region001	64	64
c00032_gnlPro...region001	66	66
c00034_gnlPro...region001	69	69
c00020_gnlPro...region001	74	74
c00039_gnlPro...region001	74	74
c00041_gnlPro...region001	76	76
c00043_gnlPro...region001	77	77
c00047_gnlPro...region001	81	81
c00051_gnlPro...region001	84	84
c00005_gnlPro...region003	93	93
c00019_gnlPro...region002	93	93
c00073_gnlPro...region001	93	93
c00077_gnlPro...region001	96	96
c00082_gnlPro...region001	96	96
