BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
c00002_gnlPro...region003	c00002_gnlPro..	gnl|Prokka|LEJENIBN_2	terpene.T3PKS	Others		
c00004_gnlPro...region003	c00004_gnlPro..	gnl|Prokka|ECDCGNGH_8	T3PKS	PKSother		
c00007_gnlPro...region003	c00007_gnlPro..	gnl|Prokka|KJIPDNGI_12	T3PKS	PKSother		
c00008_gnlPro...region001	c00008_gnlPro..	gnl|Prokka|ODNCJGCO_10	T3PKS	PKSother		
c00008_gnlPro...region003	c00008_gnlPro..	gnl|Prokka|INJJNJAE_13	T3PKS	PKSother		
c00009_gnlPro...region002	c00009_gnlPro..	gnl|Prokka|DHAILMMN_25	terpene.T3PKS	Others		
c00012_gnlPro...region002	c00012_gnlPro..	gnl|Prokka|LMGLAEBF_27	T3PKS	PKSother		
c00013_gnlPro...region002	c00013_gnlPro..	gnl|Prokka|BALGINPN_222	terpene.T3PKS	Others		
c00015_gnlPro...region002	c00015_gnlPro..	gnl|Prokka|PLAHONHL_16	T3PKS	PKSother		
c00017_gnlPro...region001	c00017_gnlPro..	gnl|Prokka|HLGFMNBB_27	T3PKS	PKSother		
c00018_gnlPro...region001	c00018_gnlPro..	gnl|Prokka|IPDINEBC_18	terpene.T3PKS	Others		
c00052_gnlPro...region001	c00052_gnlPro..	gnl|Prokka|MHLOJDLD_124	T3PKS	PKSother		
c00062_gnlPro...region001	c00062_gnlPro..	gnl|Prokka|IJPGPKLD_62	T3PKS	PKSother		
c00098_gnlPro...region001	c00098_gnlPro..	gnl|Prokka|BOIIOIPH_134	T3PKS	PKSother		
c00111_gnlPro...region001	c00111_gnlPro..	gnl|Prokka|ONKOLKPD_111	T3PKS	PKSother		
c00218_gnlPro...region001	c00218_gnlPro..	gnl|Prokka|GFBPJCFC_218	T3PKS	PKSother		
