BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
c00001_gnlPro...region001	c00001_gnlPro..	gnl|Prokka|DHJBFFDH_1	siderophore	Others		
c00001_gnlPro...region002	c00001_gnlPro..	gnl|Prokka|FEOFILKJ_1	NRPS	NRPS		
c00001_gnlPro...region003	c00001_gnlPro..	gnl|Prokka|FEOFILKJ_1	siderophore	Others		
c00001_gnlPro...region004	c00001_gnlPro..	gnl|Prokka|FEOFILKJ_1	NRPS	NRPS		
c00001_gnlPro...region005	c00001_gnlPro..	gnl|Prokka|FEOFILKJ_1	NRPS.LAP	Others		
c00001_gnlPro...region006	c00001_gnlPro..	gnl|Prokka|FEOFILKJ_1	terpene	Terpene		
c00001_gnlPro...region007	c00001_gnlPro..	gnl|Prokka|GCIAIJCE_1	NRPS	NRPS		
c00002_gnlPro...region001	c00002_gnlPro..	gnl|Prokka|KHOAEKIA_2	siderophore	Others		
c00002_gnlPro...region002	c00002_gnlPro..	gnl|Prokka|LEJENIBN_2	NRPS	NRPS		
c00002_gnlPro...region003	c00002_gnlPro..	gnl|Prokka|LEJENIBN_2	terpene.T3PKS	Others		
c00002_gnlPro...region004	c00002_gnlPro..	gnl|Prokka|LEJENIBN_2	siderophore	Others		
c00003_gnlPro...region001	c00003_gnlPro..	gnl|Prokka|INJLGPOM_3	LAP	RiPPs		
c00003_gnlPro...region002	c00003_gnlPro..	gnl|Prokka|ALNBFAGF_3	NRPS	NRPS		
c00004_gnlPro...region001	c00004_gnlPro..	gnl|Prokka|FAJLLJMA_7	LAP	RiPPs		
c00004_gnlPro...region002	c00004_gnlPro..	gnl|Prokka|ELKBFHAA_22	siderophore	Others		
c00004_gnlPro...region003	c00004_gnlPro..	gnl|Prokka|ECDCGNGH_8	T3PKS	PKSother		
c00004_gnlPro...region004	c00004_gnlPro..	gnl|Prokka|ECDCGNGH_8	siderophore	Others		
c00005_gnlPro...region001	c00005_gnlPro..	gnl|Prokka|ALEOMKEF_5	bacteriocin	RiPPs		
c00005_gnlPro...region002	c00005_gnlPro..	gnl|Prokka|ALEOMKEF_5	siderophore	Others		
c00005_gnlPro...region003	c00005_gnlPro..	gnl|Prokka|ALEOMKEF_5	LAP	RiPPs		
c00005_gnlPro...region004	c00005_gnlPro..	gnl|Prokka|ALEOMKEF_5	head_to_tail.sactipeptide	RiPPs		
c00005_gnlPro...region005	c00005_gnlPro..	gnl|Prokka|ALEOMKEF_5	siderophore	Others		
c00005_gnlPro...region006	c00005_gnlPro..	gnl|Prokka|ALEOMKEF_5	CDPS	Others		
c00006_gnlPro...region001	c00006_gnlPro..	gnl|Prokka|IJPGPKLD_6	siderophore	Others		
c00007_gnlPro...region001	c00007_gnlPro..	gnl|Prokka|DHJBFFDH_7	head_to_tail.sactipeptide	RiPPs		
c00007_gnlPro...region002	c00007_gnlPro..	gnl|Prokka|KJIPDNGI_12	siderophore	Others		
c00007_gnlPro...region003	c00007_gnlPro..	gnl|Prokka|KJIPDNGI_12	T3PKS	PKSother		
c00007_gnlPro...region004	c00007_gnlPro..	gnl|Prokka|KJIPDNGI_12	siderophore	Others		
c00008_gnlPro...region001	c00008_gnlPro..	gnl|Prokka|ODNCJGCO_10	T3PKS	PKSother		
c00008_gnlPro...region002	c00008_gnlPro..	gnl|Prokka|INJJNJAE_13	siderophore	Others		
c00008_gnlPro...region003	c00008_gnlPro..	gnl|Prokka|INJJNJAE_13	T3PKS	PKSother		
c00008_gnlPro...region004	c00008_gnlPro..	gnl|Prokka|INJJNJAE_13	siderophore	Others		
c00009_gnlPro...region001	c00009_gnlPro..	gnl|Prokka|IAEBFEPP_9	NRPS	NRPS		
c00009_gnlPro...region002	c00009_gnlPro..	gnl|Prokka|DHAILMMN_25	terpene.T3PKS	Others		
c00009_gnlPro...region003	c00009_gnlPro..	gnl|Prokka|DHAILMMN_25	NRPS	NRPS		
c00009_gnlPro...region004	c00009_gnlPro..	gnl|Prokka|DHAILMMN_25	NRPS	NRPS		
c00010_gnlPro...region001	c00010_gnlPro..	gnl|Prokka|KHOAEKIA_10	siderophore	Others		
c00011_gnlPro...region001	c00011_gnlPro..	gnl|Prokka|NAKOBAJH_155	NRPS	NRPS		
c00012_gnlPro...region001	c00012_gnlPro..	gnl|Prokka|LMGLAEBF_27	siderophore	Others		
c00012_gnlPro...region002	c00012_gnlPro..	gnl|Prokka|LMGLAEBF_27	T3PKS	PKSother		
