#BGC Name	Clan Number	Family Number
c00001_gnlPro...region001	0	0
c00002_gnlPro...region001	0	0
c00001_gnlPro...region003	2	2
c00001_gnlPro...region005	23	23
c00006_gnlPro...region001	23	23
c00012_gnlPro...region001	23	23
c00004_gnlPro...region002	29	29
c00007_gnlPro...region002	29	29
c00008_gnlPro...region002	29	29
c00010_gnlPro...region001	29	29
c00013_gnlPro...region001	29	29
c00016_gnlPro...region001	29	29
c00035_gnlPro...region002	29	29
c00002_gnlPro...region004	31	31
c00004_gnlPro...region004	31	31
c00007_gnlPro...region004	31	31
c00008_gnlPro...region004	31	31
c00014_gnlPro...region001	31	31
c00015_gnlPro...region001	31	31
c00018_gnlPro...region001	31	31
c00021_gnlPro...region001	31	31
c00089_gnlPro...region001	31	31
c00009_gnlPro...region002	33	33
c00013_gnlPro...region002	33	33
c00002_gnlPro...region003	49	49
c00019_gnlPro...region001	49	49
c00029_gnlPro...region001	49	49
c00037_gnlPro...region001	49	49
c00022_gnlPro...region002	55	55
c00023_gnlPro...region001	56	56
c00012_gnlPro...region003	61	61
c00021_gnlPro...region002	61	61
c00028_gnlPro...region001	61	61
c00033_gnlPro...region001	61	61
c00048_gnlPro...region001	61	61
c00054_gnlPro...region001	61	61
c00064_gnlPro...region001	61	61
c00005_gnlPro...region005	63	63
c00029_gnlPro...region002	63	63
c00032_gnlPro...region002	63	63
c00056_gnlPro...region001	63	63
c00031_gnlPro...region001	65	65
c00035_gnlPro...region001	70	70
c00040_gnlPro...region001	75	75
c00005_gnlPro...region006	78	78
c00044_gnlPro...region001	78	78
c00005_gnlPro...region002	92	92
c00024_gnlPro...region001	92	92
c00070_gnlPro...region001	92	92
