#BGC Name	Clan Number	Family Number
c00001_gnlPro...region002	1	1
c00001_gnlPro...region007	6	6
c00001_gnlPro...region005	12	12
c00003_gnlPro...region002	12	12
c00046_gnlPro...region001	12	12
c00009_gnlPro...region003	34	34
c00009_gnlPro...region004	35	35
c00011_gnlPro...region001	37	37
c00025_gnlPro...region001	58	58
c00066_gnlPro...region001	58	58
c00001_gnlPro...region004	60	60
c00002_gnlPro...region002	60	60
c00009_gnlPro...region001	60	60
c00027_gnlPro...region001	60	60
c00038_gnlPro...region001	73	73
c00050_gnlPro...region001	83	83
c00065_gnlPro...region001	83	83
c00104_gnlPro...region001	83	83
c00079_gnlPro...region001	95	95
