#BGC Name	Family Number
c00003_gnlPro...region001	11
c00004_gnlPro...region001	11
c00005_gnlPro...region001	17
c00005_gnlPro...region004	20
c00113_gnlPro...region001	20
c00001_gnlPro...region005	24
c00007_gnlPro...region001	24
c00022_gnlPro...region001	54
c00026_gnlPro...region001	59
c00030_gnlPro...region001	64
c00032_gnlPro...region001	66
c00034_gnlPro...region001	69
c00020_gnlPro...region001	74
c00039_gnlPro...region001	74
c00041_gnlPro...region001	76
c00043_gnlPro...region001	77
c00047_gnlPro...region001	81
c00051_gnlPro...region001	84
c00005_gnlPro...region003	93
c00019_gnlPro...region002	93
c00073_gnlPro...region001	93
c00077_gnlPro...region001	96
c00082_gnlPro...region001	96
