BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
c00001_gnlPro...region001	c00001_gnlPro..	gnl|Prokka|DHJBFFDH_1	siderophore	Others		
c00001_gnlPro...region003	c00001_gnlPro..	gnl|Prokka|FEOFILKJ_1	siderophore	Others		
c00001_gnlPro...region005	c00001_gnlPro..	gnl|Prokka|FEOFILKJ_1	NRPS.LAP	Others		
c00002_gnlPro...region001	c00002_gnlPro..	gnl|Prokka|KHOAEKIA_2	siderophore	Others		
c00002_gnlPro...region003	c00002_gnlPro..	gnl|Prokka|LEJENIBN_2	terpene.T3PKS	Others		
c00002_gnlPro...region004	c00002_gnlPro..	gnl|Prokka|LEJENIBN_2	siderophore	Others		
c00004_gnlPro...region002	c00004_gnlPro..	gnl|Prokka|ELKBFHAA_22	siderophore	Others		
c00004_gnlPro...region004	c00004_gnlPro..	gnl|Prokka|ECDCGNGH_8	siderophore	Others		
c00005_gnlPro...region002	c00005_gnlPro..	gnl|Prokka|ALEOMKEF_5	siderophore	Others		
c00005_gnlPro...region005	c00005_gnlPro..	gnl|Prokka|ALEOMKEF_5	siderophore	Others		
c00005_gnlPro...region006	c00005_gnlPro..	gnl|Prokka|ALEOMKEF_5	CDPS	Others		
c00006_gnlPro...region001	c00006_gnlPro..	gnl|Prokka|IJPGPKLD_6	siderophore	Others		
c00007_gnlPro...region002	c00007_gnlPro..	gnl|Prokka|KJIPDNGI_12	siderophore	Others		
c00007_gnlPro...region004	c00007_gnlPro..	gnl|Prokka|KJIPDNGI_12	siderophore	Others		
c00008_gnlPro...region002	c00008_gnlPro..	gnl|Prokka|INJJNJAE_13	siderophore	Others		
c00008_gnlPro...region004	c00008_gnlPro..	gnl|Prokka|INJJNJAE_13	siderophore	Others		
c00009_gnlPro...region002	c00009_gnlPro..	gnl|Prokka|DHAILMMN_25	terpene.T3PKS	Others		
c00010_gnlPro...region001	c00010_gnlPro..	gnl|Prokka|KHOAEKIA_10	siderophore	Others		
c00012_gnlPro...region001	c00012_gnlPro..	gnl|Prokka|LMGLAEBF_27	siderophore	Others		
c00012_gnlPro...region003	c00012_gnlPro..	gnl|Prokka|JOBKCDGE_22	siderophore	Others		
c00013_gnlPro...region001	c00013_gnlPro..	gnl|Prokka|OJOJPOKM_27	siderophore	Others		
c00013_gnlPro...region002	c00013_gnlPro..	gnl|Prokka|BALGINPN_222	terpene.T3PKS	Others		
c00014_gnlPro...region001	c00014_gnlPro..	gnl|Prokka|INJLGPOM_14	siderophore	Others		
c00015_gnlPro...region001	c00015_gnlPro..	gnl|Prokka|PLAHONHL_16	siderophore	Others		
c00016_gnlPro...region001	c00016_gnlPro..	gnl|Prokka|JIGFPPLC_16	siderophore	Others		
c00018_gnlPro...region001	c00018_gnlPro..	gnl|Prokka|IPDINEBC_18	terpene.T3PKS	Others		
c00019_gnlPro...region001	c00019_gnlPro..	gnl|Prokka|DMMFHILO_19	siderophore	Others		
c00021_gnlPro...region001	c00021_gnlPro..	gnl|Prokka|IJPGPKLD_21	furan	Others		
c00021_gnlPro...region002	c00021_gnlPro..	gnl|Prokka|PCIJMFOK_28	siderophore	Others		
c00022_gnlPro...region002	c00022_gnlPro..	gnl|Prokka|INJLGPOM_22	siderophore	Others		
c00023_gnlPro...region001	c00023_gnlPro..	gnl|Prokka|BGHEFFMJ_24	CDPS	Others		
c00024_gnlPro...region001	c00024_gnlPro..	gnl|Prokka|BGHEFFMJ_25	siderophore	Others		
c00028_gnlPro...region001	c00028_gnlPro..	gnl|Prokka|DJJMIKAL_52	siderophore	Others		
c00029_gnlPro...region001	c00029_gnlPro..	gnl|Prokka|HPGMPKAP_48	CDPS	Others		
c00029_gnlPro...region002	c00029_gnlPro..	gnl|Prokka|DJJMIKAL_53	siderophore	Others		
c00031_gnlPro...region001	c00031_gnlPro..	gnl|Prokka|IPDINEBC_31	siderophore	Others		
c00032_gnlPro...region002	c00032_gnlPro..	gnl|Prokka|DMMFHILO_32	siderophore	Others		
c00033_gnlPro...region001	c00033_gnlPro..	gnl|Prokka|FAJLLJMA_36	CDPS	Others		
c00035_gnlPro...region001	c00035_gnlPro..	gnl|Prokka|DMMFHILO_35	CDPS	Others		
c00035_gnlPro...region002	c00035_gnlPro..	gnl|Prokka|NMKLMGFH_84	siderophore	Others		
c00037_gnlPro...region001	c00037_gnlPro..	gnl|Prokka|KHOAEKIA_63	CDPS	Others		
c00040_gnlPro...region001	c00040_gnlPro..	gnl|Prokka|BGHEFFMJ_45	siderophore	Others		
c00044_gnlPro...region001	c00044_gnlPro..	gnl|Prokka|OJOJPOKM_99	CDPS	Others		
c00048_gnlPro...region001	c00048_gnlPro..	gnl|Prokka|ONKOLKPD_48	siderophore	Others		
c00054_gnlPro...region001	c00054_gnlPro..	gnl|Prokka|MJAGDIAD_69	siderophore	Others		
c00056_gnlPro...region001	c00056_gnlPro..	gnl|Prokka|HPGMPKAP_200	siderophore	Others		
c00064_gnlPro...region001	c00064_gnlPro..	gnl|Prokka|DAFNCOFO_75	siderophore	Others		
c00070_gnlPro...region001	c00070_gnlPro..	gnl|Prokka|FAJLLJMA_81	siderophore	Others		
c00089_gnlPro...region001	c00089_gnlPro..	gnl|Prokka|GFBPJCFC_89	siderophore	Others		
